f_1_name,f_2_name,event_date,Y,delta_reach_cm,delta_height_cm,delta_age,delta_SlpM,delta_Str_Acc,delta_SApM,delta_Str_Def,delta_TD_Avg,delta_TD_Acc,delta_TD_Def,delta_Sub_Avg
Tuco Tokkos,Ivan Erslan,2026-05-16,0,10.159999999999997,5.079999999999984,1.3771389459274488,0.06000000000000005,-0.08000000000000002,-0.8700000000000001,-0.08000000000000002,1.94,-0.010000000000000009,-0.36999999999999994,0.6
Tommy Gantt,Artur Minev,2026-05-16,1,17.78,5.0800000000000125,10.713210130047912,1.9,0.14,-2.7199999999999998,0.16999999999999998,11.29,0.36,0.36,1.4
Ketlen Vieira,Jacqueline Cavalcanti,2026-05-16,1,-5.0800000000000125,0.0,6.0095824777549645,-2.59,-0.06,0.75,-0.18000000000000005,1.31,0.42,0.050000000000000044,0.5
Andre Petroski,Cody Brundage,2026-05-16,0,2.539999999999992,0.0,2.926762491444215,0.25,-0.020000000000000018,0.040000000000000036,0.010000000000000009,1.3299999999999998,0.11000000000000004,0.19999999999999996,0.7
Polyana Viana,Alice Ardelean,2026-05-16,0,12.700000000000017,5.079999999999984,-0.1533196440794029,-4.18,-0.06,-2.2299999999999995,-0.08999999999999997,-0.41000000000000003,-0.16999999999999998,-0.52,1.3
Daniel Barez,Luis Gurule,2026-05-16,0,5.079999999999984,2.539999999999992,4.9336071184120485,-0.8400000000000007,0.04999999999999999,1.58,-0.06999999999999995,1.0699999999999998,0.13999999999999999,0.20000000000000007,0.3
Shauna Bannon,Nicolle Caliari,2026-05-16,0,7.6200000000000045,5.079999999999984,3.0335386721423667,0.9700000000000002,0.04999999999999999,-2.34,-0.07,-3.38,-0.29,-0.030000000000000027,-0.5
Sean Strickland,Khamzat Chimaev,2026-05-09,1,2.539999999999992,-2.5400000000000205,3.1731690622861066,1.9700000000000006,-0.12000000000000005,1.5500000000000003,0.07999999999999996,-4.66,0.040000000000000036,-0.18999999999999995,-1.2999999999999998
Tatsuro Taira,Joshua Van,2026-05-09,0,12.700000000000017,5.0800000000000125,1.7029431895961658,-5.56,-0.029999999999999916,-2.72,-0.13999999999999996,2.75,-0.18,-0.29,1.1
Alexander Volkov,Waldo Cortes Acosta,2026-05-09,1,5.079999999999984,7.6200000000000045,2.9404517453798746,-0.5,0.08999999999999997,-0.73,0.0,0.14,0.12,-0.04999999999999993,0.1
Sean Brady,Joaquin Buckley,2026-05-09,1,-10.159999999999997,0.0,1.4236824093086895,0.45999999999999996,0.17000000000000004,-0.33000000000000007,0.010000000000000009,2.1500000000000004,0.06,0.16000000000000003,0.7000000000000001
King Green,Jeremy Stephens,2026-05-09,1,0.0,2.5400000000000205,-0.29295003422313215,3.33,0.13,0.2999999999999998,0.050000000000000044,0.22999999999999998,0.04999999999999999,0.10999999999999999,-0.10000000000000003
Ateba Gautier,Ozzy Diaz,2026-05-09,1,5.0800000000000125,0.0,-11.381245722108144,-1.0099999999999998,-0.06,-3.9199999999999995,-0.06999999999999995,0.41,1.0,0.43000000000000005,0.0
Joel Alvarez,Yaroslav Amosov,2026-05-09,0,5.0800000000000125,7.6200000000000045,0.5229295003422365,1.8800000000000003,0.010000000000000009,1.65,-0.06999999999999995,-10.93,-0.2,0.46,-2.1
Grant Dawson,Mateusz Rebecki,2026-05-09,1,15.240000000000009,7.6200000000000045,-1.3826146475017111,-1.65,0.04999999999999999,-2.22,-0.10000000000000003,0.5300000000000002,-0.08999999999999997,0.13,0.9999999999999999
Jared Gordon,Jim Miller,2026-05-09,0,-7.6200000000000045,2.539999999999992,-5.021218343600275,2.6500000000000004,0.11000000000000004,0.6800000000000002,-0.010000000000000009,0.41999999999999993,-0.10999999999999999,0.13,-1.7
Marco Tulio,Roman Kopylov,2026-05-09,0,-2.539999999999992,0.0,-2.108145106091719,1.4799999999999995,0.030000000000000027,-2.11,0.030000000000000027,-0.07000000000000006,-0.24,-0.88,0.3
Pat Sabatini,William Gomis,2026-05-09,1,-7.619999999999976,-10.159999999999997,6.592744695414098,-1.5100000000000002,0.06000000000000005,-1.4400000000000002,-0.06999999999999995,3.5399999999999996,0.02999999999999997,-0.27,1.0
Baisangur Susurkaev,Djorden Santos,2026-05-09,1,10.159999999999997,5.0800000000000125,-3.43874058863792,-0.8999999999999995,0.12000000000000005,-1.8999999999999995,0.09999999999999998,1.5799999999999998,-0.020000000000000018,0.15000000000000002,0.8
Clayton Carpenter,Jose Ochoa,2026-05-09,0,-2.5400000000000205,-2.5400000000000205,4.56125941136208,-1.2800000000000002,0.030000000000000027,1.4799999999999995,-0.08999999999999997,1.45,0.09999999999999998,-0.15000000000000002,0.09999999999999998
Carlos Prates,Jack Della Maddalena,2026-05-02,1,12.700000000000017,5.079999999999984,3.0663928815879515,-0.9100000000000001,0.030000000000000027,0.05999999999999961,-0.14,-0.16000000000000003,0.8,0.13,-0.1
Quillan Salkilld,Beneil Dariush,2026-05-02,1,7.6200000000000045,5.079999999999984,-10.644763860369608,1.2699999999999996,0.07999999999999996,0.3999999999999999,-0.11999999999999994,5.04,-0.030000000000000027,-0.019999999999999907,0.0
Steve Erceg,Tim Elliott,2026-05-02,1,5.0800000000000125,2.539999999999992,-8.588637919233399,1.13,0.03999999999999998,1.0700000000000003,-0.010000000000000009,-2.48,-0.16999999999999998,0.08000000000000007,-0.7000000000000001
Marwan Rahiki,Ollie Schmid,2026-05-02,1,2.539999999999992,-10.159999999999997,-1.3634496919917858,4.52,0.22000000000000003,-2.0,0.11999999999999994,0.0,0.0,1.0,0.8
Shamil Gaziev,Brando Pericic,2026-05-02,0,-2.539999999999992,-2.5400000000000205,4.476386036960985,-8.06,-0.10999999999999993,0.6600000000000001,-0.12999999999999995,1.06,0.33,0.12,0.3
Tai Tuivasa,Louie Sutherland,2026-05-02,0,-2.539999999999992,-2.539999999999992,0.9007529089664601,1.56,-0.20000000000000007,2.5800000000000005,0.12,-4.95,-0.42,0.58,0.0
